,0,1,2,3,4,5
81,Game 5,"Wed, April 27",Chicago Bulls,100.0,@ Milwaukee Bucks,116.0
82,Eastern Conference First Round,Philadelphia 76ers over Toronto Raptors  (4-2),Series Stats,,,
83,"Game 1 Sat, April 16 Toronto Raptors 111@ Philadelphia 76ers 131 Game 2 Mon, April 18 Toronto Raptors 97@ Philadelphia 76ers 112 Game 3 Wed, April 20 Philadelphia 76ers 104@ Toronto Raptors 101 Game 4 Sat, April 23 Philadelphia 76ers 102@ Toronto Raptors 110 Game 5 Mon, April 25 Toronto Raptors 103@ Philadelphia 76ers 88 Game 6 Thu, April 28 Philadelphia 76ers 132@ Toronto Raptors 97","Game 1 Sat, April 16 Toronto Raptors 111@ Philadelphia 76ers 131 Game 2 Mon, April 18 Toronto Raptors 97@ Philadelphia 76ers 112 Game 3 Wed, April 20 Philadelphia 76ers 104@ Toronto Raptors 101 Game 4 Sat, April 23 Philadelphia 76ers 102@ Toronto Raptors 110 Game 5 Mon, April 25 Toronto Raptors 103@ Philadelphia 76ers 88 Game 6 Thu, April 28 Philadelphia 76ers 132@ Toronto Raptors 97","Game 1 Sat, April 16 Toronto Raptors 111@ Philadelphia 76ers 131 Game 2 Mon, April 18 Toronto Raptors 97@ Philadelphia 76ers 112 Game 3 Wed, April 20 Philadelphia 76ers 104@ Toronto Raptors 101 Game 4 Sat, April 23 Philadelphia 76ers 102@ Toronto Raptors 110 Game 5 Mon, April 25 Toronto Raptors 103@ Philadelphia 76ers 88 Game 6 Thu, April 28 Philadelphia 76ers 132@ Toronto Raptors 97",,,
84,Game 1,"Sat, April 16",Toronto Raptors,111.0,@ Philadelphia 76ers,131.0
85,Game 2,"Mon, April 18",Toronto Raptors,97.0,@ Philadelphia 76ers,112.0
86,Game 3,"Wed, April 20",Philadelphia 76ers,104.0,@ Toronto Raptors,101.0
87,Game 4,"Sat, April 23",Philadelphia 76ers,102.0,@ Toronto Raptors,110.0
88,Game 5,"Mon, April 25",Toronto Raptors,103.0,@ Philadelphia 76ers,88.0
89,Game 6,"Thu, April 28",Philadelphia 76ers,132.0,@ Toronto Raptors,97.0
90,Western Conference First Round,Dallas Mavericks over Utah Jazz  (4-2),Series Stats,,,
